,PLATFRMID,NAME,STATUS,OPERNAME,COMMODITY,LATITUDE,LONGITUDE,age,WATERDEPTH,DISTLAND,REGION,kmeans_3_label,kmeans_4_label,kmeans_5_label,kmeans_6_label,kmeans_7_label
532,GOM01223,E,IN SERVICE,"CONTANGO OPERATORS, INC.",BOTH,29.3838201009,-91.7688501052,16.804928131416837,12,6,GULF OF MEXICO,2,2,1,3,5
533,GOM01225,O,IN SERVICE,GOM SHELF LLC,BOTH,28.9595762179,-90.0189434743,16.640657084188913,92,14,GULF OF MEXICO,0,1,4,1,1
534,GOM01226,A(PERDIDO),IN SERVICE,SHELL OFFSHORE INC.,BOTH,26.1292344639,-94.8980774468,14.042436687200547,7835,140,GULF OF MEXICO,0,1,4,4,4
535,GOM01227,B,IN SERVICE,"PETROQUEST ENERGY, LLC",NONE,28.7838613742,-93.4285705877,16.58590006844627,92,66,GULF OF MEXICO,1,0,0,0,0
536,GOM01229,J,IN SERVICE,"ENERGY XXI GOM, LLC",BOTH,28.8529486084,-90.3945293421,16.476386036960985,69,13,GULF OF MEXICO,1,0,0,0,0
537,GOM01231,B,IN SERVICE,MONFORTE EXPLORATION LLC,NONE,28.6242575132,-90.5319272992,16.851471594798085,75,29,GULF OF MEXICO,2,2,2,1,1
538,GOM01232,GG,IN SERVICE,GOM SHELF LLC,BOTH,29.0377713818,-89.85611488,16.643394934976044,102,15,GULF OF MEXICO,1,0,0,0,0
539,GOM01233,C,IN SERVICE,TALOS ENERGY OFFSHORE LLC,BOTH,28.774798498,-90.7337357399,16.479123887748116,63,18,GULF OF MEXICO,1,0,0,0,0
540,GOM01234,3,IN SERVICE,XTO OFFSHORE INC.,UNKNOWN,28.9701437738,-91.2881072659,,20,18,GULF OF MEXICO,0,1,4,4,4
541,GOM01237,F,IN SERVICE,FIELDWOOD ENERGY OFFSHORE LLC,UNKNOWN,28.7963093033,-91.9478930257,,99,47,GULF OF MEXICO,1,0,0,0,6
542,GOM01239,A,IN SERVICE,"BENNU OIL & GAS, LLC",BOTH,27.8933756303,-94.3238519775,16.372347707049965,477,92,GULF OF MEXICO,2,2,1,3,5
543,GOM01240,D,IN SERVICE,FIELDWOOD ENERGY OFFSHORE LLC,NATURAL GAS,28.2907268486,-91.8304598554,16.62696783025325,224,73,GULF OF MEXICO,2,2,1,3,6
544,GOM01241,5,IN SERVICE,CHEVRON USA INC.,NONE,29.0821292969,-90.0993296235,15.967145790554415,50,4,GULF OF MEXICO,2,2,1,3,6
545,GOM01242,C,IN SERVICE,FIELDWOOD ENERGY OFFSHORE LLC,UNKNOWN,28.2602108995,-93.550260715,16.602327173169062,210,99,GULF OF MEXICO,1,0,0,0,0
546,GOM01243,D,IN SERVICE,"GOMEX ENERGY OFFSHORE, LTD.",OIL,28.9451065056,-92.8770680785,16.673511293634498,78,46,GULF OF MEXICO,1,0,0,0,0
547,GOM01244,C,IN SERVICE,"PETROQUEST ENERGY, LLC",NATURAL GAS,28.7567531042,-93.4151716607,16.57494866529774,94,68,GULF OF MEXICO,0,1,2,1,1
548,GOM01246,FF,IN SERVICE,GOM SHELF LLC,BOTH,28.950499947,-89.8045238248,16.59958932238193,144,22,GULF OF MEXICO,2,2,1,3,6
549,GOM01247,C,IN SERVICE,FIELDWOOD ENERGY OFFSHORE LLC,NONE,28.7705798392,-92.0708005026,16.44079397672827,107,50,GULF OF MEXICO,0,1,2,1,1
550,GOM01248,D,IN SERVICE,"NORTHSTAR OFFSHORE GROUP, LLC",NONE,29.6939333067,-93.5982732263,,28,4,GULF OF MEXICO,1,0,0,0,0
551,GOM01249,D-AUX 1,IN SERVICE,"NORTHSTAR OFFSHORE GROUP, LLC",UNKNOWN,29.6939958932,-93.5983124459,14.2258726899384,28,4,GULF OF MEXICO,0,1,2,1,1
552,GOM01250,E,IN SERVICE,"GULF SOUTH PIPELINE CO., LP",UNKNOWN,29.2359309602,-91.684095495,16.33675564681725,19,18,GULF OF MEXICO,0,1,2,1,1
553,GOM01251,A,IN SERVICE,"ARENA OFFSHORE, LP",NATURAL GAS,29.4764701306,-88.6768002795,16.517453798767967,103,20,GULF OF MEXICO,0,1,4,4,4
554,GOM01254,A(THUNDER HAWK),IN SERVICE,MURPHY EXPLORATION & PRODUCTION CO. - USA,BOTH,28.267543335,-88.3989242817,14.30800821355236,6050,66,GULF OF MEXICO,2,2,1,3,5
555,GOM01255,CASSION #5,IN SERVICE,"LINDER OIL CO., A PARTNERSHIP",NONE,29.4078333677,-93.4228339822,15.969883641341546,40,24,GULF OF MEXICO,0,1,2,1,1
556,GOM01256,18,IN SERVICE,FIELDWOOD ENERGY LLC,NATURAL GAS,29.50067768,-93.2872418432,16.602327173169062,42,18,GULF OF MEXICO,0,1,2,1,1
557,GOM01257,L,IN SERVICE,FIELDWOOD ENERGY LLC,BOTH,28.7704361342,-91.2393133188,16.462696783025326,44,30,GULF OF MEXICO,0,3,3,5,2
558,GOM01259,A,IN SERVICE,"PEREGRINE OIL & GAS, LP",BOTH,28.4115911456,-93.8880892157,16.39425051334702,220,81,GULF OF MEXICO,0,1,1,2,3
559,GOM01260,1,IN SERVICE,"EPL OIL & GAS, INC.",UNKNOWN,29.1650379459,-93.5966132086,,60,38,GULF OF MEXICO,1,0,0,0,6
560,GOM01264,F,IN SERVICE,"CONTANGO OPERATORS, INC.",BOTH,29.3706314926,-91.7818286817,16.588637919233403,12,7,GULF OF MEXICO,0,3,3,5,2
561,GOM01266,14,IN SERVICE,STONE ENERGY CORP.,NONE,29.3769459204,-93.0289150699,15.849418206707734,52,22,GULF OF MEXICO,1,0,0,0,0
562,GOM01267,28,IN SERVICE,"CENTURY EXPLORATION NEW ORLEANS, LLC",OIL,28.7082214768,-91.2358899004,16.484599589322382,57,29,GULF OF MEXICO,2,2,1,3,5
563,GOM01268,A,IN SERVICE,"ENERGY RESOURCE TECHNOLOGY GOM, INC.",BOTH,28.1301896427,-92.7806621036,16.399726214921287,267,100,GULF OF MEXICO,1,0,0,0,0
564,GOM01270,1,IN SERVICE,XTO OFFSHORE INC.,UNKNOWN,29.4182863329,-88.7679816115,,99,19,GULF OF MEXICO,0,1,2,1,1
565,GOM01271,1,IN SERVICE,"LLOG EXPLORATION OFFSHORE, LLC",UNKNOWN,28.991551922,-91.8373888908,,60,33,GULF OF MEXICO,0,3,3,5,2
566,GOM01272,A,IN SERVICE,"ENERGY XXI GOM, LLC",BOTH,29.0507106342,-89.8409149345,16.12046543463381,98,15,GULF OF MEXICO,1,0,0,0,0
567,GOM01277,3,IN SERVICE,XTO OFFSHORE INC.,UNKNOWN,29.5180570857,-88.6487068488,,96,20,GULF OF MEXICO,1,0,0,0,0
568,GOM01278,1,IN SERVICE,MCMORAN OIL & GAS LLC,UNKNOWN,28.7955575134,-90.5427633568,,65,18,GULF OF MEXICO,1,0,0,0,6
569,GOM01279,34,IN SERVICE,FIELDWOOD ENERGY LLC,UNKNOWN,28.9639903773,-91.9766493821,,68,36,GULF OF MEXICO,0,1,4,2,3
570,GOM01281,1,IN SERVICE,FIELDWOOD ENERGY OFFSHORE LLC,NONE,29.5064634694,-88.8096713779,16.28747433264887,60,13,GULF OF MEXICO,1,0,0,0,6
571,GOM01283,1,IN SERVICE,MURPHY EXPLORATION & PRODUCTION CO. - USA,UNKNOWN,28.6922762681,-91.3893554272,,80,36,GULF OF MEXICO,1,0,0,0,6
572,GOM01285,1,IN SERVICE,"HELIS OIL & GAS CO., LLC",UNKNOWN,29.0324775295,-92.9687858617,,80,42,GULF OF MEXICO,1,0,0,0,6
573,GOM01286,A(MIRAGE/TITAN),IN SERVICE,"BENNU OIL & GAS, LLC",BOTH,28.033912607,-89.1007840074,13.730321697467488,4050,63,GULF OF MEXICO,1,0,0,0,6
574,GOM01287,1,IN SERVICE,"LLOG EXPLORATION OFFSHORE, LLC",UNKNOWN,28.8575632795,-91.6885159023,,72,36,GULF OF MEXICO,0,1,4,2,3
575,GOM01288,A,IN SERVICE,"HELIS OIL & GAS CO., LLC",BOTH,29.2154559909,-92.0102699135,16.128678986995208,27,20,GULF OF MEXICO,0,3,3,5,2
576,GOM01290,B,IN SERVICE,"ENERGY XXI GOM, LLC",UNKNOWN,28.4953819228,-90.2992154143,15.86858316221766,162,38,GULF OF MEXICO,2,2,1,2,3
577,GOM01291,4,IN SERVICE,"MARINER ENERGY, INC.",UNKNOWN,29.3775636144,-93.6372296755,,46,23,GULF OF MEXICO,1,0,0,0,0
