,PLATFRMID,NAME,STATUS,OPERNAME,COMMODITY,LATITUDE,LONGITUDE,age,WATERDEPTH,DISTLAND,REGION,kmeans_3_label,kmeans_4_label,kmeans_5_label,kmeans_6_label,kmeans_7_label
0,GOM00005,CAIS.#21(PLF.CF,IN SERVICE,CHEVRON USA INC.,BOTH,28.89890326,-90.5044168323,26.442162902121837,55,11,GULF OF MEXICO,1,0,0,0,0
1,GOM00007,E-1,IN SERVICE,"W & T OFFSHORE, INC.",NONE,29.0623297969,-91.2971779914,46.24503764544832,15,7,GULF OF MEXICO,2,2,2,1,1
2,GOM00012,E,IN SERVICE,"W & T OFFSHORE, INC.",NONE,29.1202421396,-91.1792256304,26.245037645448324,12,7,GULF OF MEXICO,2,2,1,3,5
3,GOM00014,"11""A""",IN SERVICE,"WHITNEY OIL & GAS, LLC",NONE,28.9601772535,-89.2747337103,27.633127994524298,82,4,GULF OF MEXICO,2,2,1,3,6
4,GOM00015,D,IN SERVICE,ANKOR ENERGY LLC,BOTH,28.6067977977,-92.0736007322,26.01779603011636,136,61,GULF OF MEXICO,0,3,3,5,2
5,GOM00016,C,IN SERVICE,FIELDWOOD ENERGY OFFSHORE LLC,BOTH,28.2733023227,-91.8661036455,26.321697467488026,228,76,GULF OF MEXICO,1,0,0,0,0
6,GOM00017,JB,IN SERVICE,"ARENA OFFSHORE, LP",BOTH,28.8479373092,-90.5241017623,26.22861054072553,64,14,GULF OF MEXICO,0,1,4,2,3
7,GOM00023,F,IN SERVICE,"ENERGY XXI GOM, LLC",BOTH,28.1615965314,-92.989493274,26.90485968514716,248,100,GULF OF MEXICO,2,2,1,3,6
8,GOM00024,196,IN SERVICE,"EPL OIL & GAS, INC.",BOTH,29.2951620964,-91.8761503051,26.305270362765228,23,12,GULF OF MEXICO,0,1,2,1,1
9,GOM00026,A,IN SERVICE,"TRANSCONTINENTAL GAS PIPE LINE CO., LLC",UNKNOWN,29.3476619562,-88.1133126503,25.905544147843944,282,53,GULF OF MEXICO,1,0,0,0,0
10,GOM00027,14,IN SERVICE,FIELDWOOD ENERGY LLC,NONE,28.9885034104,-91.4492390386,26.138261464750173,37,20,GULF OF MEXICO,0,1,2,2,3
11,GOM00031,A,IN SERVICE,"EPL OIL & GAS, INC.",UNKNOWN,29.9032767794,-88.4848403777,26.2943189596167,99,19,GULF OF MEXICO,1,0,0,0,0
12,GOM00035,#2,IN SERVICE,"PETROQUEST ENERGY, LLC",UNKNOWN,28.7665549291,-93.4477280436,26.16290212183436,95,66,GULF OF MEXICO,0,1,2,1,1
13,GOM00036,D,IN SERVICE,"PETROQUEST ENERGY, LLC",NATURAL GAS,28.7666764175,-93.447867918,15.619438740588638,95,66,GULF OF MEXICO,0,3,3,5,2
14,GOM00038,B,IN SERVICE,FIELDWOOD ENERGY OFFSHORE LLC,BOTH,28.5107931555,-90.6787007595,26.19301848049281,110,36,GULF OF MEXICO,0,1,2,1,1
15,GOM00039,A,IN SERVICE,"W & T OFFSHORE, INC.",NATURAL GAS,28.9998529177,-89.7368284093,26.11362080766598,140,19,GULF OF MEXICO,2,2,1,3,5
16,GOM00041,A-GENESIS SPAR,IN SERVICE,CHEVRON USA INC.,BOTH,27.7795236114,-90.5189753758,25.35523613963039,2590,60,GULF OF MEXICO,1,0,0,0,0
17,GOM00043,A,IN SERVICE,"ENTERPRISE FIELD SERVICES, LLC",BOTH,27.9440307967,-92.8773836764,25.678302532511974,443,113,GULF OF MEXICO,1,0,0,0,0
18,GOM00044,B,IN SERVICE,ATP OIL & GAS CORP.,UNKNOWN,28.2566345064,-95.5653229399,26.1492128678987,116,31,GULF OF MEXICO,2,2,1,3,5
19,GOM00045,CAIS.#198,IN SERVICE,CHEVRON USA INC.,NONE,29.3446591463,-91.9972198919,26.217659137577,17,12,GULF OF MEXICO,0,3,3,5,2
20,GOM00047,A,IN SERVICE,FIELDWOOD ENERGY LLC,BOTH,28.8834178227,-92.9866449713,25.56605065023956,86,52,GULF OF MEXICO,0,1,4,4,4
21,GOM00052,A-CINNAMON,IN SERVICE,APACHE CORP.,UNKNOWN,27.8765491002,-91.8729513414,25.180013689253936,670,98,GULF OF MEXICO,0,3,3,5,2
22,GOM00053,12,IN SERVICE,FIELDWOOD ENERGY LLC,NONE,29.2164031819,-91.5922132018,26.023271731690624,21,15,GULF OF MEXICO,1,0,0,0,6
23,GOM00061,B,IN SERVICE,"ENVEN ENERGY VENTURES, LLC",NONE,28.4503610695,-93.2204432255,25.919233401779604,157,85,GULF OF MEXICO,2,2,1,3,5
24,GOM00067,A (VIRGO),IN SERVICE,"W & T ENERGY VI, LLC",BOTH,29.1821502831,-88.1677490563,24.197125256673512,1130,50,GULF OF MEXICO,1,0,0,0,0
25,GOM00069,E,IN SERVICE,TALOS ENERGY OFFSHORE LLC,NONE,28.8396959836,-90.6337562295,25.09240246406571,61,25,GULF OF MEXICO,1,0,0,0,0
26,GOM00070,15,IN SERVICE,FIELDWOOD ENERGY LLC,BOTH,28.9835417578,-91.45031898,25.95208761122519,35,20,GULF OF MEXICO,2,2,1,3,5
27,GOM00072,JA,IN SERVICE,"FAIRWAYS OFFSHORE EXPLORATION, INC.",UNKNOWN,29.2290739623,-94.4645441667,25.82614647501711,52,17,GULF OF MEXICO,2,2,1,3,5
28,GOM00077,A,IN SERVICE,"ENVEN ENERGY VENTURES, LLC",BOTH,28.7194429799,-91.3256475348,25.5523613963039,66,32,GULF OF MEXICO,1,0,0,0,0
29,GOM00081,B,IN SERVICE,FIELDWOOD ENERGY OFFSHORE LLC,BOTH,28.5159010624,-90.2775196855,25.83983572895277,110,37,GULF OF MEXICO,1,0,0,0,0
30,GOM00082,CAIS.#33,IN SERVICE,FIELDWOOD ENERGY LLC,BOTH,28.979414822,-91.4844266439,25.905544147843944,41,22,GULF OF MEXICO,2,2,1,3,6
31,GOM00083,33 AUX,IN SERVICE,FIELDWOOD ENERGY LLC,UNKNOWN,28.9793295744,-91.4844265127,13.776865160848734,41,22,GULF OF MEXICO,1,0,0,0,0
32,GOM00084,CAIS.#1,IN SERVICE,FIELDWOOD ENERGY LLC,BOTH,28.926823676,-91.7530684969,25.516769336071185,64,35,GULF OF MEXICO,2,2,1,3,5
33,GOM00085,B,IN SERVICE,"ENERGY RESOURCE TECHNOLOGY GOM, INC.",NONE,29.3958886532,-93.3125758745,25.39630390143737,34,25,GULF OF MEXICO,1,0,0,0,0
34,GOM00087,A,IN SERVICE,"W & T OFFSHORE, INC.",BOTH,28.0537780751,-90.5477248465,25.117043121149894,557,66,GULF OF MEXICO,1,0,0,0,6
35,GOM00089,CAIS.#23,IN SERVICE,FIELDWOOD ENERGY LLC,NONE,29.126684813,-91.7190073168,25.801505817932924,12,24,GULF OF MEXICO,1,0,0,0,0
36,GOM00094,CAIS.#1(PLTF. A,IN SERVICE,CHEVRON USA INC.,UNKNOWN,30.0016184059,-88.5517701468,25.7056810403833,85,14,GULF OF MEXICO,2,2,1,3,5
37,GOM00096,A,IN SERVICE,WALTER OIL & GAS CORP.,NONE,28.3843700136,-90.5289980877,25.73305954825462,154,55,GULF OF MEXICO,1,0,0,0,0
38,GOM00105,7,IN SERVICE,CHEVRON USA INC.,NONE,29.1990015557,-91.5977563762,25.7056810403833,24,16,GULF OF MEXICO,1,0,0,0,0
39,GOM00109,CAIS.#34,IN SERVICE,FIELDWOOD ENERGY LLC,BOTH,28.9738690316,-91.4862538729,25.357973990417523,44,22,GULF OF MEXICO,1,0,0,0,0
40,GOM00111,A-HOOVER SPAR,IN SERVICE,EXXON MOBIL CORP.,BOTH,26.9393627454,-94.6888975515,23.59206023271732,4825,137,GULF OF MEXICO,1,0,0,0,6
41,GOM00112,I,IN SERVICE,CHEVRON USA INC.,BOTH,28.9454747333,-90.366001272,25.56605065023956,53,7,GULF OF MEXICO,0,3,3,5,2
42,GOM00116,C,IN SERVICE,"CENTURY EXPLORATION NEW ORLEANS, LLC",BOTH,28.7393584247,-91.2532876157,25.5523613963039,51,28,GULF OF MEXICO,1,0,0,0,0
43,GOM00118,P,IN SERVICE,"DESTIN PIPELINE CO., LLC",UNKNOWN,29.3432401187,-88.067119152,25.240246406570844,300,55,GULF OF MEXICO,2,2,1,3,5
44,GOM00122,CAIS.#35,IN SERVICE,FIELDWOOD ENERGY LLC,NONE,28.9923262836,-91.4776778438,25.842573579739906,38,21,GULF OF MEXICO,2,2,1,3,5
45,GOM00123,BB(FMR CAIS.#1),IN SERVICE,EXXON MOBIL CORP.,NATURAL GAS,30.1491878791,-88.145592508,39.742642026009584,52,5,GULF OF MEXICO,1,0,0,0,6
46,GOM00125,JA,IN SERVICE,FIELDWOOD ENERGY LLC,BOTH,28.0569135307,-94.0231506638,25.38261464750171,235,96,GULF OF MEXICO,1,0,0,0,6
47,GOM00129,9,IN SERVICE,FIELDWOOD ENERGY LLC,NONE,28.9481610962,-90.7750554123,25.856262833675565,35,5,GULF OF MEXICO,0,3,3,5,2
48,GOM00130,10,IN SERVICE,FIELDWOOD ENERGY LLC,NONE,28.9481613354,-90.7751116827,22.32991101984942,35,5,GULF OF MEXICO,1,0,0,0,0
49,GOM00135,C,IN SERVICE,FIELDWOOD ENERGY LLC,BOTH,29.2116315149,-91.5952507314,25.14715947980835,22,15,GULF OF MEXICO,2,2,1,3,5
50,GOM00136,10,IN SERVICE,FIELDWOOD ENERGY LLC,NONE,29.2116560347,-91.5953667741,26.48323066392881,22,15,GULF OF MEXICO,1,0,0,0,0
51,GOM00139,B,IN SERVICE,"MERIT ENERGY CO., LLC",UNKNOWN,29.2753421643,-93.0018845945,25.475701574264203,58,28,GULF OF MEXICO,1,0,0,0,6
52,GOM00140,C,IN SERVICE,"SOJITZ ENERGY VENTURE, INC.",UNKNOWN,29.3007457369,-91.6514390019,25.51950718685832,14,14,GULF OF MEXICO,1,0,0,0,0
53,GOM00141,C-AUX,IN SERVICE,"SOJITZ ENERGY VENTURE, INC.",UNKNOWN,29.3007374072,-91.6514734827,23.824777549623544,14,14,GULF OF MEXICO,2,2,1,3,5
54,GOM00144,A-MARLIN TLP,IN SERVICE,FREEPORT-MCMORAN OIL & GAS LLC,BOTH,29.1077880848,-87.9436174423,24.33949349760438,3236,64,GULF OF MEXICO,0,1,2,1,1
55,GOM00147,B,IN SERVICE,TALOS ENERGY OFFSHORE LLC,NONE,29.0085191121,-90.5273945838,25.05407255304586,32,4,GULF OF MEXICO,0,1,4,4,4
56,GOM00148,A,IN SERVICE,ANKOR ENERGY LLC,BOTH,28.4311413585,-91.0449542299,25.440109514031484,120,43,GULF OF MEXICO,2,2,1,3,5
57,GOM00149,G,IN SERVICE,FIELDWOOD ENERGY LLC,NONE,28.6699616721,-91.0049174037,25.22655715263518,51,26,GULF OF MEXICO,2,2,1,3,5
58,GOM00151,A,IN SERVICE,"NORTHSTAR OFFSHORE GROUP, LLC",UNKNOWN,29.1006775217,-89.8192637742,25.46748802190281,82,15,GULF OF MEXICO,2,2,1,3,5
59,GOM00152,A-AUX,IN SERVICE,"NORTHSTAR OFFSHORE GROUP, LLC",UNKNOWN,29.1006602428,-89.8194331289,23.274469541409992,82,15,GULF OF MEXICO,0,3,3,5,2
60,GOM00154,A,IN SERVICE,APACHE CORP.,UNKNOWN,29.3511628504,-93.54807364,25.127994524298423,40,28,GULF OF MEXICO,0,3,3,5,2
61,GOM00156,A(ALLEGHENY SEA,IN SERVICE,ENI US OPERATING CO. INC.,BOTH,27.6918391322,-90.2755944662,24.27652292950034,3294,86,GULF OF MEXICO,1,0,0,0,0
62,GOM00157,J,IN SERVICE,FIELDWOOD ENERGY LLC,BOTH,28.7830266865,-91.7440354962,25.26488706365503,87,42,GULF OF MEXICO,1,0,0,0,6
63,GOM00162,A,IN SERVICE,CHEVRON USA INC.,BOTH,29.7459810615,-88.1582549096,25.399041752224505,120,32,GULF OF MEXICO,1,0,0,0,0
64,GOM00163,A-AUX.,IN SERVICE,CHEVRON USA INC.,UNKNOWN,29.7466798319,-88.1588681275,,120,32,GULF OF MEXICO,0,3,3,5,2
65,GOM00164,A,IN SERVICE,DAUPHIN ISLAND GATHERING PARTNERS,UNKNOWN,29.3323348674,-87.8778587821,25.026694045174537,348,61,GULF OF MEXICO,2,2,1,3,5
66,GOM00168,17,IN SERVICE,FIELDWOOD ENERGY LLC,BOTH,28.9869925281,-91.4649629944,25.14168377823409,36,21,GULF OF MEXICO,1,0,0,0,6
67,GOM00170,A,IN SERVICE,"W & T OFFSHORE, INC.",UNKNOWN,28.0577010013,-93.3522231442,25.19917864476386,300,113,GULF OF MEXICO,0,1,2,1,1
68,GOM00171,B,IN SERVICE,MCMORAN OIL & GAS LLC,NONE,28.2631371999,-91.8904486859,25.31143052703628,230,77,GULF OF MEXICO,0,2,1,2,3
69,GOM00176,A,IN SERVICE,"ENVEN ENERGY VENTURES, LLC",BOTH,29.2856525382,-88.1794897023,24.90075290896646,307,50,GULF OF MEXICO,0,1,4,4,4
70,GOM00178,A,IN SERVICE,TALOS ENERGY OFFSHORE LLC,UNKNOWN,29.2284369228,-92.3855077797,25.905544147843944,31,21,GULF OF MEXICO,1,0,0,0,6
71,GOM00182,C,IN SERVICE,"ENVEN ENERGY VENTURES, LLC",BOTH,29.2890524705,-88.2117996953,25.00479123887748,302,48,GULF OF MEXICO,2,2,1,3,5
72,GOM00183,A,IN SERVICE,FIELDWOOD ENERGY LLC,UNKNOWN,28.1977873574,-90.3448153275,25.00752908966461,394,58,GULF OF MEXICO,1,0,0,0,6
73,GOM00187,CAIS.#36,IN SERVICE,FIELDWOOD ENERGY LLC,NONE,29.0064087574,-91.489137765,24.57494866529774,32,20,GULF OF MEXICO,1,0,0,0,0
74,GOM00190,CAIS.#1,IN SERVICE,"SPN RESOURCES, LLC",UNKNOWN,30.1047323884,-87.75762518,25.010266940451743,58,8,GULF OF MEXICO,1,0,0,0,0
75,GOM00199,CAIS.#4,IN SERVICE,WALTER OIL & GAS CORP.,UNKNOWN,29.0511140028,-94.6601906282,25.182751540041068,60,17,GULF OF MEXICO,1,0,0,0,6
76,GOM00200,B,IN SERVICE,FIELDWOOD ENERGY OFFSHORE LLC,BOTH,28.8040246129,-91.9748288669,25.05133470225873,93,46,GULF OF MEXICO,1,0,0,0,6
77,GOM00201,A,IN SERVICE,FIELDWOOD ENERGY OFFSHORE LLC,BOTH,28.8131539105,-91.9759485265,25.1088295687885,93,46,GULF OF MEXICO,0,3,3,5,2
78,GOM00203,AH,IN SERVICE,"ENERGY XXI GOM, LLC",NONE,29.160105177,-89.5163842828,25.073237508555785,32,10,GULF OF MEXICO,1,0,0,0,0
79,GOM00208,2,IN SERVICE,"BLACK ELK ENERGY OFFSHORE OPERATIONS, LLC",NONE,29.0060436187,-91.5419343212,24.82135523613963,38,22,GULF OF MEXICO,0,1,4,2,3
80,GOM00212,A,IN SERVICE,ANKOR ENERGY LLC,BOTH,28.0575352876,-92.2154053208,24.7419575633128,331,99,GULF OF MEXICO,1,0,0,0,0
81,GOM00217,B,IN SERVICE,TANA EXPLORATION CO. LLC,NONE,29.0126574649,-89.6098357226,24.999315537303215,105,12,GULF OF MEXICO,1,0,0,0,6
82,GOM00224,C,IN SERVICE,"ROOSTER PETROLEUM, LLC",NONE,28.2081124963,-93.9530102722,24.865160848733744,142,89,GULF OF MEXICO,1,0,0,0,0
83,GOM00225,E-FACILITY #6,IN SERVICE,MOBIL OIL EXPLORATION & PRODUCING SOUTHEAST INC.,BOTH,30.1637755303,-88.1852813684,24.6652977412731,52,5,GULF OF MEXICO,1,0,0,0,6
84,GOM00234,E,IN SERVICE,"APACHE SHELF, INC.",UNKNOWN,29.4074080728,-93.2436378458,24.78850102669405,47,25,GULF OF MEXICO,1,0,0,0,6
85,GOM00238,A,IN SERVICE,"W & T OFFSHORE, INC.",BOTH,29.2693062501,-88.1900864494,24.32306639288159,322,49,GULF OF MEXICO,0,1,4,2,3
86,GOM00239,A,IN SERVICE,"W & T OFFSHORE, INC.",BOTH,29.2696346419,-88.2375219572,24.28747433264887,300,46,GULF OF MEXICO,1,0,0,0,0
87,GOM00241,A,IN SERVICE,FIELDWOOD ENERGY LLC,BOTH,28.7511632092,-89.7154643375,24.35318275154004,269,27,GULF OF MEXICO,0,1,4,4,4
88,GOM00244,A,IN SERVICE,FIELDWOOD ENERGY LLC,BOTH,28.3790640107,-96.0845462242,24.640657084188916,69,10,GULF OF MEXICO,1,0,0,0,6
89,GOM00245,A,IN SERVICE,"ARENA OFFSHORE, LP",NONE,28.6058481833,-91.6570000168,24.580424366872005,131,49,GULF OF MEXICO,0,1,2,1,1
90,GOM00246,A-BRUTUS TLP,IN SERVICE,SHELL OFFSHORE INC.,BOTH,27.7955036357,-90.6476130444,22.439425051334705,2900,125,GULF OF MEXICO,2,2,1,3,5
91,GOM00253,4,IN SERVICE,TALOS ENERGY OFFSHORE LLC,BOTH,29.0033913045,-90.5121238482,24.073921971252567,25,4,GULF OF MEXICO,1,0,0,0,0
92,GOM00254,C,IN SERVICE,FIELDWOOD ENERGY OFFSHORE LLC,BOTH,28.7977576375,-91.9798523311,24.49281314168378,97,47,GULF OF MEXICO,1,0,0,0,0
93,GOM00255,D,IN SERVICE,CHEVRON USA INC.,BOTH,28.7065385916,-92.2694483028,24.410677618069816,128,56,GULF OF MEXICO,1,0,0,0,0
94,GOM00256,B,IN SERVICE,"ENERGY XXI GOM, LLC",BOTH,27.9719759032,-93.5179768348,24.251882272416157,342,118,GULF OF MEXICO,1,0,0,0,0
95,GOM00260,C,IN SERVICE,"ENVEN ENERGY VENTURES, LLC",NONE,29.2806871385,-92.9567167406,24.35318275154004,59,26,GULF OF MEXICO,2,2,1,2,3
96,GOM00263,B,IN SERVICE,"CENTURY EXPLORATION NEW ORLEANS, LLC",UNKNOWN,29.4316079534,-89.1239235494,24.435318275154003,30,10,GULF OF MEXICO,0,1,4,4,4
97,GOM00268,CAIS.#201,IN SERVICE,"EPL OIL & GAS, INC.",BOTH,29.3039781225,-91.8834365725,24.31211498973306,23,12,GULF OF MEXICO,1,0,0,0,6
98,GOM00272,VP,IN SERVICE,"CONTANGO OPERATORS, INC.",UNKNOWN,29.193343105,-91.5264316365,44.90622861054072,16,13,GULF OF MEXICO,1,0,0,0,0
99,GOM00273,VP-AUX,IN SERVICE,"CONTANGO OPERATORS, INC.",UNKNOWN,29.1936486877,-91.5262034539,15.800136892539356,16,13,GULF OF MEXICO,0,1,2,2,3
100,GOM00274,CG-A-VALVE,IN SERVICE,TC OFFSHORE LLC,BOTH,28.7615208371,-91.4033252657,51.90691307323751,70,33,GULF OF MEXICO,2,2,1,3,5
101,GOM00275,COMP-B-VALVE,IN SERVICE,TC OFFSHORE LLC,UNKNOWN,28.7628952731,-91.4041063818,51.90691307323751,70,33,GULF OF MEXICO,1,0,0,0,6
102,GOM00276,C-QTRS,IN SERVICE,TC OFFSHORE LLC,UNKNOWN,28.7623456624,-91.4034818823,51.90691307323751,70,33,GULF OF MEXICO,1,0,0,0,6
103,GOM00277,FLRPILE-D,IN SERVICE,TC OFFSHORE LLC,UNKNOWN,28.7613557509,-91.4035123801,51.90691307323751,70,33,GULF OF MEXICO,1,0,0,0,6
104,GOM00278,FLRPILE-E,IN SERVICE,TC OFFSHORE LLC,UNKNOWN,28.7611493955,-91.4037462755,51.90691307323751,70,33,GULF OF MEXICO,0,1,2,1,1
105,GOM00279,FLRPILE-F,IN SERVICE,TC OFFSHORE LLC,UNKNOWN,28.7609292905,-91.4039957614,51.90691307323751,70,33,GULF OF MEXICO,2,2,1,3,5
106,GOM00280,GM-VALVE,IN SERVICE,"GULF SOUTH PIPELINE CO., LP",UNKNOWN,29.3137957975,-91.5385543947,73.90554414784394,11,10,GULF OF MEXICO,1,0,0,0,0
107,GOM00281,PP-VALVE,IN SERVICE,NATURAL GAS PIPELINE CO. OF AMERICA LLC,UNKNOWN,29.4203264073,-93.3496432389,51.90691307323751,37,23,GULF OF MEXICO,2,2,1,3,6
108,GOM00283,GP-VALVE,IN SERVICE,"SEA ROBIN PIPELINE CO., LLC",UNKNOWN,28.6711971131,-91.6147243697,52.90622861054072,101,44,GULF OF MEXICO,1,0,0,0,0
109,GOM00284,PP,IN SERVICE,"SEA ROBIN PIPELINE CO., LLC",UNKNOWN,28.8226403112,-91.9664762267,52.74469541409993,93,45,GULF OF MEXICO,1,0,0,0,0
110,GOM00286,PP,IN SERVICE,"KINETICA PARTNERS, LLC",UNKNOWN,28.5907391985,-92.4660127842,45.90554414784394,130,65,GULF OF MEXICO,0,3,3,5,2
111,GOM00287,C-QTRS,IN SERVICE,"KINETICA PARTNERS, LLC",UNKNOWN,28.5897155962,-92.46640941,45.90554414784394,130,65,GULF OF MEXICO,1,0,0,0,0
112,GOM00288,B,IN SERVICE,"KINETICA PARTNERS, LLC",UNKNOWN,28.5905180121,-92.4667829169,45.90554414784394,130,65,GULF OF MEXICO,2,2,1,3,5
113,GOM00289,A(PP)-EQUIP,IN SERVICE,TENNESSEE GAS PIPELINE CO.,UNKNOWN,28.5222452935,-91.6451685533,50.90485968514716,160,54,GULF OF MEXICO,2,2,1,3,5
114,GOM00291,B,IN SERVICE,TENNESSEE GAS PIPELINE CO.,UNKNOWN,28.5218827434,-91.6450024322,47.90691307323751,160,54,GULF OF MEXICO,2,2,1,3,5
115,GOM00292,GP,IN SERVICE,"SEA ROBIN PIPELINE CO., LLC",UNKNOWN,28.7559090734,-92.8024359235,52.90622861054072,102,57,GULF OF MEXICO,2,2,1,3,5
116,GOM00294,A-VALVE,IN SERVICE,"STINGRAY PIPELINE CO., LLC",UNKNOWN,28.4329691906,-93.0048852197,49.90554414784394,162,82,GULF OF MEXICO,1,0,0,0,0
117,GOM00295,B,IN SERVICE,"STINGRAY PIPELINE CO., LLC",UNKNOWN,28.432935445,-93.0053699307,49.90554414784394,162,82,GULF OF MEXICO,1,0,0,0,0
118,GOM00296,C- QTRS,IN SERVICE,"STINGRAY PIPELINE CO., LLC",UNKNOWN,28.4319584772,-93.0058577133,49.90554414784394,162,82,GULF OF MEXICO,1,0,0,0,0
119,GOM00305,A,IN SERVICE,"BLACK ELK ENERGY OFFSHORE OPERATIONS, LLC",UNKNOWN,29.1424504143,-94.6701628638,24.021902806297057,70,12,GULF OF MEXICO,0,1,2,1,1
120,GOM00307,19,IN SERVICE,FIELDWOOD ENERGY LLC,NONE,28.9992382493,-91.445376052,24.024640657084188,34,19,GULF OF MEXICO,0,1,2,1,1
121,GOM00311,CAIS.#202,IN SERVICE,"EPL OIL & GAS, INC.",NONE,29.3063918714,-91.8710316353,24.21902806297057,23,11,GULF OF MEXICO,1,0,0,0,0
122,GOM00312,CAIS.#8,IN SERVICE,FIELDWOOD ENERGY LLC,NONE,29.6254662081,-93.1970997324,23.786447638603697,35,9,GULF OF MEXICO,1,0,0,0,0
123,GOM00313,CAIS.#9,IN SERVICE,FIELDWOOD ENERGY LLC,NONE,29.6253897512,-93.1970605429,23.299110198494184,35,9,GULF OF MEXICO,0,1,2,1,1
124,GOM00317,H,IN SERVICE,"CASTEX OFFSHORE, INC.",BOTH,28.5306220068,-92.204196695,23.923340177960306,158,68,GULF OF MEXICO,0,1,4,4,4
125,GOM00318,A,IN SERVICE,"ENERGY XXI GOM, LLC",BOTH,29.2605730583,-91.4605036159,23.575633127994525,12,7,GULF OF MEXICO,1,0,0,0,0
126,GOM00319,A,IN SERVICE,TANA EXPLORATION CO. LLC,OIL,29.010937837,-89.6746562354,24.046543463381244,136,16,GULF OF MEXICO,0,1,2,4,4
127,GOM00325,A,IN SERVICE,"ROOSTER PETROLEUM, LLC",BOTH,29.2635207614,-94.4152486383,24.09034907597536,45,17,GULF OF MEXICO,0,3,3,5,2
128,GOM00330,1,IN SERVICE,TANA EXPLORATION CO. LLC,NONE,29.0129038212,-89.5438120869,23.367556468172484,35,10,GULF OF MEXICO,1,0,0,0,0
129,GOM00331,CAIS.#203,IN SERVICE,"EPL OIL & GAS, INC.",UNKNOWN,29.2872104408,-91.8593706956,22.809034907597532,23,12,GULF OF MEXICO,0,3,3,5,2
130,GOM00334,B,IN SERVICE,"EPL OIL & GAS, INC.",NONE,29.2219909916,-94.4538536989,23.67693360711841,50,17,GULF OF MEXICO,1,0,0,0,0
131,GOM00335,C,IN SERVICE,"EPL OIL & GAS, INC.",UNKNOWN,28.4837475517,-90.2155654808,23.87679671457905,181,40,GULF OF MEXICO,1,0,0,0,6
132,GOM00340,C,IN SERVICE,TALOS ENERGY OFFSHORE LLC,NONE,28.9922647512,-90.5136093678,22.99520876112252,37,5,GULF OF MEXICO,1,0,0,0,0
133,GOM00342,A,IN SERVICE,"RENAISSANCE OFFSHORE, LLC",BOTH,29.3274733874,-88.2400985923,23.73990417522245,240,46,GULF OF MEXICO,1,0,0,0,0
134,GOM00344,CAIS.#5,IN SERVICE,CHEVRON USA INC.,NONE,29.4180254603,-89.0134479743,23.920602327173167,34,8,GULF OF MEXICO,1,0,0,0,6
135,GOM00345,CAIS.#200,IN SERVICE,"EPL OIL & GAS, INC.",BOTH,29.2924265209,-91.8858140679,23.84120465434634,23,13,GULF OF MEXICO,0,1,4,1,1
136,GOM00349,A,IN SERVICE,TANA EXPLORATION CO. LLC,NATURAL GAS,29.3641619751,-88.3524147147,23.61943874058864,197,60,GULF OF MEXICO,2,2,1,3,6
137,GOM00350,1,IN SERVICE,FIELDWOOD ENERGY LLC,NONE,29.6684533503,-93.0496085694,23.408624229979463,30,4,GULF OF MEXICO,1,0,0,0,6
138,GOM00351,2,IN SERVICE,"ENERGY XXI GOM, LLC",BOTH,29.2551790807,-91.446311292,23.520876112251884,10,6,GULF OF MEXICO,0,1,4,4,4
139,GOM00353,A-ROW,IN SERVICE,"TRANSCONTINENTAL GAS PIPE LINE CO., LLC",UNKNOWN,28.7613695754,-91.5721659915,54.62833675564682,90,37,GULF OF MEXICO,2,2,1,3,5
140,GOM00354,A,IN SERVICE,STONE ENERGY CORP.,UNKNOWN,28.5106195821,-92.3581861958,23.575633127994525,167,70,GULF OF MEXICO,0,1,2,1,4
141,GOM00357,A,IN SERVICE,FIELDWOOD ENERGY OFFSHORE LLC,UNKNOWN,29.2790314093,-93.6026074686,23.68788501026694,47,30,GULF OF MEXICO,0,1,2,1,1
142,GOM00360,CAIS.#13,IN SERVICE,CHEVRON USA INC.,BOTH,29.4132835399,-89.0721863353,23.789185489390828,18,7,GULF OF MEXICO,1,0,0,0,0
143,GOM00361,A,IN SERVICE,"BLACK ELK ENERGY OFFSHORE OPERATIONS, LLC",UNKNOWN,28.8489531552,-91.8308218484,23.60848733744011,81,42,GULF OF MEXICO,1,0,0,0,6
144,GOM00362,A,IN SERVICE,"ENVEN ENERGY VENTURES, LLC",UNKNOWN,29.596613172,-88.0466861452,23.52908966461328,139,36,GULF OF MEXICO,2,2,1,3,5
145,GOM00363,CAIS.#206,IN SERVICE,CHEVRON USA INC.,NATURAL GAS,29.3430995388,-91.9488838443,23.72895277207392,20,11,GULF OF MEXICO,2,2,1,2,3
146,GOM00366,2,IN SERVICE,WALTER OIL & GAS CORP.,NONE,28.9558748746,-90.5160024876,23.49349760438056,41,9,GULF OF MEXICO,2,2,1,3,5
147,GOM00367,204,IN SERVICE,"EPL OIL & GAS, INC.",UNKNOWN,29.3070822834,-91.9003269903,23.61122518822724,23,12,GULF OF MEXICO,1,0,0,0,6
148,GOM00368,1,IN SERVICE,"ENERGY XXI GOM, LLC",BOTH,29.3441078954,-92.387459878,23.66050650239562,30,13,GULF OF MEXICO,1,0,0,0,6
149,GOM00371,A,IN SERVICE,"ENVEN ENERGY VENTURES, LLC",BOTH,29.3065584779,-88.3351838531,23.260780287474333,223,41,GULF OF MEXICO,2,2,1,3,5
