,PLATFRMID,NAME,STATUS,OPERNAME,COMMODITY,LATITUDE,LONGITUDE,INSTALL,REMOVAL,WATERDEPTH,DISTLAND,REGION,age,kmeans_label,ahc_label,dbscan_label
1769,GOM01853,B-PRD(REMOVED),REMOVED,MARATHON OIL CO.,NONE,28.283197485,-96.2022621773,1988-01-01 00:00:00+00:00,1996/12/12 00:00:00+00,74,10,GULF OF MEXICO,35.893223819301845,0,1,0
1770,GOM01854,2,REMOVED,EXXON MOBIL CORP.,NONE,28.0303279426,-96.6075628554,1984-01-01 00:00:00+00:00,1990/06/25 00:00:00+00,98,10,GULF OF MEXICO,39.893223819301845,0,1,0
1771,GOM01855,A,REMOVED,"MARITECH RESOURCES, INC.",NONE,28.2227688518,-96.1368305577,1984-01-01 00:00:00+00:00,2002/02/24 00:00:00+00,78,20,GULF OF MEXICO,39.893223819301845,0,1,0
1772,GOM01856,1,REMOVED,EXXON MOBIL CORP.,NONE,27.8905803946,-96.7344729719,1982-01-01 00:00:00+00:00,1989/11/12 00:00:00+00,87,15,GULF OF MEXICO,41.89185489390828,2,1,0
1773,GOM01857,A,IN SERVICE,"PEREGRINE OIL & GAS II, LLC",NONE,26.8330208319,-96.9401531563,1987-01-01 00:00:00+00:00,,156,25,GULF OF MEXICO,36.89253935660506,0,1,0
1774,GOM01858,A,REMOVED,FOREST OIL CORP.,NONE,28.2280783826,-96.2213966496,1987-01-01 00:00:00+00:00,2011/10/14 00:00:00+00,77,13,GULF OF MEXICO,36.89253935660506,0,1,0
1775,GOM01859,1,REMOVED,APACHE CORP.,NONE,28.3742796287,-96.088425458,1987-01-01 00:00:00+00:00,2014/08/18 00:00:00+00,65,10,GULF OF MEXICO,36.89253935660506,0,1,0
1776,GOM01860,A,REMOVED,"MERIT ENERGY CO., LLC",NONE,27.3172227979,-96.7378591549,1987-01-01 00:00:00+00:00,2010/07/07 00:00:00+00,207,36,GULF OF MEXICO,36.89253935660506,0,1,0
1777,GOM01861,C,REMOVED,"ENVEN ENERGY VENTURES, LLC",NONE,27.7600370651,-96.6427566836,1987-01-01 00:00:00+00:00,2013/06/25 00:00:00+00,120,23,GULF OF MEXICO,36.89253935660506,0,1,0
1778,GOM01862,A-PROCESS,REMOVED,GOM SHELF LLC,NONE,28.2135115008,-96.1781994867,1987-01-01 00:00:00+00:00,2010/08/15 00:00:00+00,80,18,GULF OF MEXICO,36.89253935660506,0,1,0
1779,GOM01863,A,IN SERVICE,"BLACK ELK ENERGY OFFSHORE OPERATIONS, LLC",UNKNOWN,27.9143244342,-96.5907262265,1987-01-01 00:00:00+00:00,,90,18,GULF OF MEXICO,36.89253935660506,0,1,0
1780,GOM01864,A,REMOVED,"STONE ENERGY, LLC",NONE,27.6136080681,-96.9243351226,1988-01-01 00:00:00+00:00,1999/09/07 00:00:00+00,92,17,GULF OF MEXICO,35.893223819301845,0,1,0
1781,GOM01865,F,REMOVED,GOM SHELF LLC,NONE,28.011112886,-96.455258465,1988-01-01 00:00:00+00:00,2005/06/27 00:00:00+00,90,17,GULF OF MEXICO,35.893223819301845,0,1,0
1782,GOM01866,A,REMOVED,APACHE CORP.,NONE,28.0836798379,-96.3561726456,1988-01-01 00:00:00+00:00,1992/08/18 00:00:00+00,90,18,GULF OF MEXICO,35.893223819301845,0,1,0
1783,GOM01867,A,REMOVED,"ARENA OFFSHORE, LP",NONE,28.1880089185,-96.1287120259,1988-01-01 00:00:00+00:00,2012/07/19 00:00:00+00,87,19,GULF OF MEXICO,35.893223819301845,0,1,0
1784,GOM01868,A-PRD,REMOVED,"ARENA OFFSHORE, LP",NONE,28.1876529319,-96.1289180277,1988-01-01 00:00:00+00:00,2012/07/19 00:00:00+00,87,19,GULF OF MEXICO,35.893223819301845,0,1,0
1785,GOM01869,11,REMOVED,WALTER OIL & GAS CORP.,NONE,28.2459793021,-96.263414704,1988-01-01 00:00:00+00:00,1991/08/02 00:00:00+00,76,12,GULF OF MEXICO,35.893223819301845,0,1,0
1786,GOM01870,A,REMOVED,HALL-HOUSTON OIL CO.,NONE,27.6239400235,-96.7394430548,1988-01-01 00:00:00+00:00,1992/08/29 00:00:00+00,128,25,GULF OF MEXICO,35.893223819301845,0,1,0
1787,GOM01871,A,REMOVED,APACHE CORP.,NONE,27.7104288272,-96.8591762669,1988-01-01 00:00:00+00:00,1997/12/10 00:00:00+00,87,8,GULF OF MEXICO,35.893223819301845,0,1,0
1788,GOM01872,G,IN SERVICE,FIELDWOOD ENERGY LLC,OIL,28.0901337591,-96.3919247466,1988-01-01 00:00:00+00:00,,70,17,GULF OF MEXICO,35.893223819301845,0,1,0
1789,GOM01873,A,REMOVED,"DYNAMIC OFFSHORE RESOURCES NS, LLC",NONE,28.1635459053,-96.1507343622,1988-01-01 00:00:00+00:00,2010/07/21 00:00:00+00,89,20,GULF OF MEXICO,35.893223819301845,0,1,0
1790,GOM01874,1,REMOVED,"DYNAMIC OFFSHORE RESOURCES NS, LLC",NONE,28.1306449103,-96.1425028446,1988-01-01 00:00:00+00:00,2010/06/19 00:00:00+00,99,20,GULF OF MEXICO,35.893223819301845,0,1,0
1791,GOM01875,7,REMOVED,"ENERGY RESOURCE TECHNOLOGY, INC.",NONE,28.137675416,-96.2276371822,1989-07-22 00:00:00+00:00,2005/06/23 00:00:00+00,86,17,GULF OF MEXICO,34.338124572210816,0,1,0
1792,GOM01876,4,REMOVED,MURPHY EXPLORATION & PRODUCTION CO. - USA,NONE,28.1506959879,-96.2277912753,1998-07-22 00:00:00+00:00,2004/08/04 00:00:00+00,87,16,GULF OF MEXICO,25.338809034907598,0,1,0
1793,GOM01877,6,REMOVED,MURPHY EXPLORATION & PRODUCTION CO. - USA,NONE,28.1582396151,-96.2133179489,1988-01-01 00:00:00+00:00,1998/07/19 00:00:00+00,84,15,GULF OF MEXICO,35.893223819301845,0,1,0
1794,GOM01878,A,REMOVED,THE LOUISIANA LAND AND EXPLORATION CO.,NONE,28.0547708625,-96.1954136799,1989-01-01 00:00:00+00:00,2001/09/22 00:00:00+00,113,22,GULF OF MEXICO,34.8911704312115,0,1,0
1795,GOM01879,A,REMOVED,"EOG RESOURCES, INC.",NONE,27.6357367311,-96.5587230255,1989-01-01 00:00:00+00:00,2012/09/11 00:00:00+00,184,32,GULF OF MEXICO,34.8911704312115,0,1,0
